QALD2_te-67	Who are the parents of the wife of Juan Carlos I? Who are the parents of the wife of Juan Carlos I? Who are the parents of the wife of Juan Carlos I? Who are the parents of the wife of Juan Carlos I? Who are the parents of the wife of Juan Carlos I? Spanish monarchy queen consort 妃子 royal family 西班牙王后 conjugation historical figures parents wife Juan Carlos I Spain royal family 妃子 王后 卡洛斯一世国王 spouse Juan_Carlos_I King_of_Spain Queen_of_Spain consorts family_tree biological_parents Spanish monarchy royal family Queen Sofia consorts Spanish history royal lineage Queen Sofia Spain consort royal family Spanish monarchy Queen Sofia Spanish monarchy royal family consort parents Spanish history parents wife Juan Carlos I Spanish monarchy royal family consorts Spanish monarchy Spanish royal family 妃王后 consorts of kings Spanish history Spanish royal lineage Juan Carlos I consort spouse of Juan Carlos I Spanish monarchy Spanish royal family King of Spain Queen consort parents wife Juan Carlos I Spanish monarchy royal family historical figures
QALD2_te-60	Give me a list of all lakes in Denmark. Give me a list of all lakes in Denmark. Give me a list of all lakes in Denmark. Give me a list of all lakes in Denmark. Give me a list of all lakes in Denmark. lakes Denmark geographic locations water bodies Danish lakes regional lakes Denmark geography lakes Denmark geographical water bodies Danish lakes Denmark map lake locations lakes Denmark geography water bodies Danish lakes map locations size depth list of lakes Denmark Danish lakes lakes in Denmark map Denmark lake sizes Denmark lake locations Danish lake names lakes near Denmark borders lakes Denmark geographic locations water bodies Denmark map Danish lakes lakes in Denmark Danish lakes lake names Denmark Danish freshwater lakes list of lakes Denmark lakes Denmark geography water bodies Danish lakes geographical features lakes in Denmark Danish lakes Denmark lake list Danish water bodies Denmark ponds Danish reservoirs Denmark water areas lakes Denmark geography water bodies Denmark map Danish lakes geographical features lakes Denmark map Danish lakes lake names Denmark Danish water bodies Danish wetlands Danish reservoirs Danish ponds lake locations Denmark
QALD2_te-63	Give me all Argentine films. Give me all Argentine films. Give me all Argentine films. Give me all Argentine films. Give me all Argentine films. Argentine cinema Argentine movies Argentine film industry Argentine filmography Argentine filmmaking Argentine cinema Argentine movies Argentine film industry Argentine filmography Argentine filmmakers Buenos Aires films Argentine movie awards Argentine cinema Argentine movies Argentine film industry Argentine film festival Argentine director Argentine actor Argentine filmography Argentine film awards Argentine independent film Argentine documentary Argentine cinema Argentine movies Argentine film industry Argentine film festival Argentine movie awards Argentine film director Argentine film actor Argentine film production Argentine film history Argentine film genre Argentine cinema Argentine movies Argentine film industry Argentine filmmakers Buenos Aires films Argentine filmography Argentine cinema Argentinian movies Argentine film industry Argentine film list Buenos Aires films Argentine cinema Argentine movies Argentine film industry Argentine film festival Argentine filmmakers Argentine cinema Argentine movies Argentine film industry Argentine filmography Argentine filmmakers Argentine cinema Argentine movies Argentine film industry Argentine film festival Argentine film awards Argentine movie genre Argentine director Argentine actor Argentine film history Argentine film production Argentine cinema Argentine movies Argentine film industry Argentine indie films Argentine classic films Buenos Aires films Argentine film festival
QALD2_te-64	Give me all launch pads operated by NASA. Give me all launch pads operated by NASA. Give me all launch pads operated by NASA. Give me all launch pads operated by NASA. Give me all launch pads operated by NASA. NASA space centers facilities sites exploration rocket launches missions Kennedy Cape Canaveral Johnson Vandenberg NASA space launch pad facilities sites Kennedy Space Center Cape Canaveral sites history NASA space center facilities rocket sites exploration missions history locations launches NASA launch sites NASA space centers NASA rocket launch facilities NASA space exploration centers NASA satellite launch complexes NASA space launches facilities Kennedy Shuttle SpaceX history locations NASA launch pads SpaceX launch sites Kennedy Space Center Vandenberg Space Launch Complex commercial spaceflight rocket launch facilities NASA space launches aerospace infrastructure space exploration facilities NASA space centers facilities Kennedy CapeCanaveral SpaceX commercial launches sites NASA launch pads Kennedy Space Center Cape Canaveral SpaceX pads historical NASA launches NASA rocket sites NASA launch facilities Johnson Space Center Vandenberg Space Launch Complex NASA launch pads Kennedy Space Center Cape Canaveral SpaceX cooperation historical launch sites NASA missions rocket launch facilities space shuttle launch pads NASA launch pads SpaceX pads Kennedy Space Center Vandenberg Space Launch Complex commercial space launch sites historic NASA launches
QALD2_te-65	Which instruments did John Lennon play? Which instruments did John Lennon play? Which instruments did John Lennon play? Which instruments did John Lennon play? Which instruments did John Lennon play? John Lennon instruments Beatles instruments musician instruments John Lennon instruments Beatles instruments Lennon music instruments list John Lennon instruments Beatles instruments music genres John Lennon played John Lennon instruments Beatles instruments Lennon music background guitar types Lennon used Beatles band members instruments John Lennon instruments Beatles instruments music genres John Lennon John Lennon instruments Beatles instruments guitar songs John Lennon bass guitar John Lennon piano John Lennon John Lennon instruments Beatles guitarists music genres John Lennon played Lennon McCartney instruments John Lennon instruments Beatles instruments guitar styles Lennon bass guitar Lennon piano Lennon John Lennon instruments Beatles instruments guitar styles John Lennon bass guitar John Lennon piano John Lennon John Lennon instruments Beatles instruments guitar styles Lennon bass guitar piano Lennon saxophone Lennon
QALD2_te-66	Which ships were called after Benjamin Franklin? Which ships were called after Benjamin Franklin? Which ships were called after Benjamin Franklin? Which ships were called after Benjamin Franklin? Which ships were called after Benjamin Franklin? Benjamin Franklin ships historical ships named American Revolutionary ships U.S. Navy ships Benjamin Franklin ship history Benjamin Franklin navy Benjamin Franklin ship history ships named after Benjamin Franklin Benjamin Franklin maritime Benjamin Franklin voyages Benjamin Franklin ships historical Benjamin Franklin vessels Benjamin Franklin navy famous Benjamin Franklin boats Benjamin Franklin ship names Benjamin Franklin ships ships named after Benjamin Franklin Benjamin Franklin naval vessels historical ships Benjamin Franklin U.S. Navy ships named Benjamin Franklin ships American Revolutionary War ships U.S. Navy historical ships maritime history Franklin (ship) Benjamin Franklin ship history Benjamin Franklin naval vessels ships named after Benjamin Franklin list of ships named Benjamin Franklin Benjamin Franklin maritime history Benjamin Franklin ships historical ships named after Benjamin Franklin Benjamin Franklin naval vessels ships named after famous Americans Benjamin Franklin ships historical ships named after Benjamin Franklin Benjamin Franklin naval vessels ships named in honor of Benjamin Franklin Benjamin Franklin ships historical ships named after Benjamin Franklin Benjamin Franklin naval ships ships named after famous Americans Benjamin Franklin ships American Revolutionary War ships United States Navy ships historical ships命名 maritime history famous ships named after people
SemSearch_LS-1	Apollo astronauts who walked on the Moon Apollo astronauts who walked on the Moon Apollo astronauts who walked on the Moon Apollo astronauts who walked on the Moon Apollo astronauts who walked on the Moon Apollo missions lunar landing space exploration moonwalkers Astronaut biography Apollo program lunar module moon landing astronauts names space missions Apollo program lunar module extravehicular activity moonwalk space missions NASA astronauts Apollo program lunar missions Moon landing space exploration history astronaut achievements lunar surface NASA Apollo astronauts Apollo program lunar landing 宇航员 moonwalk lunar module space missions 航天员 登月 月球表面 Apollo missions Moon landing Astronaut names Space exploration history Apollo 11 Apollo program lunar landing Moonwalk NASA astronauts first Moon landing Apollo program lunar missions moon landing astronaut names historical astronauts Apollo program lunar landing space exploration Moonwalk NASA astronauts Apollo program lunar module extravehicular activity Moon landing space suits lunar roving vehicle
SemSearch_ES-97	PINK PANTHER 2 PINK PANTHER 2 PINK PANTHER 2 PINK PANTHER 2 PINK PANTHER 2 pink panther 2 movie soundtrack comedy animation franchise crime film release cast plot trailer reviews score characters theatrical animation cartoon PINK PANTHER 2 MOVIE PINK PANTHER 2 RELEASE DATE PINK PANTHER 2 TRAILER PINK PANTHER 2 ACTORS PINK PANTHER 2 REVIEW pink panther 2 movie soundtrack cartoon characters plot comedy animation release rating reviews trailer actors director production synopsis streaming theatrical boxoffice cast plotsummary pink panther 2 plot pink panther 2 release date pink panther 2 trailer pink panther 2 cast pink panther 2 review pink panther 2 soundtrack pink panther 2 comedy pink panther 2 characters pink panther 2 synopsis pink panther 2 rating PINK PANTHER MOTION P picture COMEDY STEVE MARTIN ANIMAL CAROLYN JOHNSON ROGER STEVENSON pink panther movie 2 pink panther 2 release date pink panther 2 plot pink panther 2 cast pink panther 2 trailer pink panther 2 soundtrack pink panther 2 review pink panther 2 characters pink panther 2 streaming pink panther 2 comedy pink panther movie 2023 comedy animation soundtrack cast plot trailer pink panther 2 movie soundtrack trailer cast plot reviews animation comedy pink panther 2 movie soundtrack comedy animation crime film soundtrack heist detective pink panther 2 movie soundtrack cast plot trailer comedy animation
SemSearch_LS-2	Arab states of the Persian Gulf Arab states of the Persian Gulf Arab states of the Persian Gulf Arab states of the Persian Gulf Arab states of the Persian Gulf Persian Gulf countries Arabian Gulf states Gulf Cooperation Council Middle East nations oil-rich states Persian Gulf countries Gulf Cooperation Council Arabian Peninsula Middle East oil-rich states Qatar Bahrain United Arab Emirates Oman Saudi Arabia Kuwait Persian Gulf countries Gulf Cooperation Council Arabian Peninsula Middle East nations Oman Qatar Bahrain Saudi Arabia United Arab Emirates Kuwait Yemen Strait of Hormuz Gulf Cooperation Council countries in Middle East Persian Gulf nations Oman UAE Qatar Bahrain Kuwait Saudi Arabia Arabian Peninsula government websites travel guides geography history Persian Gulf countries Arabian Peninsula Gulf Cooperation Council Qatar Saudi Arabia United Arab Emirates Bahrain Oman Kuwait Persian Gulf history Persian Gulf economy Persian Gulf countries Gulf Cooperation Council Arabian Peninsula Middle East nations oil-rich states Gulf Cooperation Council Countries bordering Persian Gulf Persian Gulf nations Oman Qatar UAE Kuwait Bahrain Saudi Arabia Saudi Arabian Peninsula Royal Saudi Air Force Air Force of Saudi Arabia Gulf Cooperation Council Arabian Peninsula Oman Qatar Bahrain Kuwait United Arab Emirates Saudi Arabia Iran Middle East politics Persian Gulf oil Gulf states history Persian Gulf countries Gulf Cooperation Council Arabian Peninsula Oman Qatar Bahrain United Arab Emirates Kuwait Saudi Arabia Yemen Middle East politics oil production cultural heritage Gulf Cooperation Council Oman Qatar Bahrain United Arab Emirates Kuwait Saudi Arabia Arabian Peninsula Middle East politics cultural diversity economy oil industry geography historical background international relations
SemSearch_ES-96	New England Coffee New England Coffee New England Coffee New England Coffee New England Coffee coffee shops new england beanery roasted coffee local coffeehouses coffee shops new england coffee culture coffee roasters new england brewing bean varieties coffee events New England coffee shops coffee culture roasted coffee coffee beans local coffee espresso caffeine coffee drinks coffee roasters New England coffee shops New England coffee roast New England coffee beans New England coffee brands New England coffee culture New England coffee tasting New England coffee events New England organic coffee New England fair trade coffee New England specialty coffee NewEnglandCafes coffeeshopsBoston roastcoffeeBE coffeeNewHampshire MaineCoffeehouses VermontBreweries coffee豆制品 NewEnglandBeans New England coffee shops new England coffee beans new england coffee roasters New England coffee shops coffee culture local roasters espresso brewing methods coffee beans café artisan coffee coffee tasting specialty coffee barista coffee events coffee tourism New England coffee trail NewEnglandCoffeeBeans NewEnglandCoffeeShops OrganicNewEnglandCoffee NewEnglandRoastedCoffee LocalNewEnglandCoffee New England coffee shops roast blends local beans brewing culture history tasting tours NewEnglandCoffeeBeans NewEnglandCoffeeShops NewEnglandRoast OrganicNewEnglandCoffee SpecialtyNewEnglandCoffee NewEnglandCoffeeBlends NewEnglandCoffeeTasting SustainableNewEnglandCoffee
